category,sub,url,data
Amazon Music,"[<a class=""nav_a"" href=""/gp/dmusic/promotions/AmazonMusicUnlimited"">Amazon Music Unlimited</a>, <a class=""nav_a"" href=""/gp/dmusic/promotions/PrimeMusic"">Prime Music</a>, <a class=""nav_a"" href=""/gp/dmusic/mp3/player"" target=""_blank"">ミュージックライブラリ</a>, <a class=""nav_a"" href=""/MP3-%E3%83%80%E3%82%A6%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%89-%E9%9F%B3%E6%A5%BD%E9%85%8D%E4%BF%A1-DRM%E3%83%95%E3%83%AA%E3%83%BC/b?ie=UTF8&amp;node=2128134051"">デジタルミュージック</a>, <a class=""nav_a"" href=""/%E9%9F%B3%E6%A5%BD-CD-%E8%BC%B8%E5%85%A5%E7%9B%A4-%E9%80%9A%E8%B2%A9/b?ie=UTF8&amp;node=561956"">CD・レコード</a>]",https://www.amazon.co.jp/MP3-%E3%83%80%E3%82%A6%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%89-%E9%9F%B3%E6%A5%BD%E9%85%8D%E4%BF%A1-DRM%E3%83%95%E3%83%AA%E3%83%BC/b?ie=UTF8&node=2128134051,デジタルミュージック
Amazon Music,"[<a class=""nav_a"" href=""/gp/dmusic/promotions/AmazonMusicUnlimited"">Amazon Music Unlimited</a>, <a class=""nav_a"" href=""/gp/dmusic/promotions/PrimeMusic"">Prime Music</a>, <a class=""nav_a"" href=""/gp/dmusic/mp3/player"" target=""_blank"">ミュージックライブラリ</a>, <a class=""nav_a"" href=""/MP3-%E3%83%80%E3%82%A6%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%89-%E9%9F%B3%E6%A5%BD%E9%85%8D%E4%BF%A1-DRM%E3%83%95%E3%83%AA%E3%83%BC/b?ie=UTF8&amp;node=2128134051"">デジタルミュージック</a>, <a class=""nav_a"" href=""/%E9%9F%B3%E6%A5%BD-CD-%E8%BC%B8%E5%85%A5%E7%9B%A4-%E9%80%9A%E8%B2%A9/b?ie=UTF8&amp;node=561956"">CD・レコード</a>]",https://www.amazon.co.jp/%E9%9F%B3%E6%A5%BD-CD-%E8%BC%B8%E5%85%A5%E7%9B%A4-%E9%80%9A%E8%B2%A9/b?ie=UTF8&node=561956,CD・レコード
Android アプリストア,"[<a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA/b?ie=UTF8&amp;node=2381130051"">アプリ</a>, <a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA-%E3%82%B2%E3%83%BC%E3%83%A0/b?ie=UTF8&amp;node=2386870051"">ゲーム</a>, <a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA-Kindle%E5%AF%BE%E5%BF%9C/b?ie=UTF8&amp;node=2509060051"">Fire対応アプリ</a>, <a class=""nav_a"" href=""/%E3%82%B3%E3%82%A4%E3%83%B3/b?ie=UTF8&amp;node=3232648051"">Amazonコイン</a>, <a class=""nav_a"" href=""/b?ie=UTF8&amp;node=5540984051"">Amazonアプリ</a>, <a class=""nav_a"" href=""/gp/mas/your-account/myapps"">アプリと購買登録</a>]",https://www.amazon.co.jp/Android%E3%82%A2%E3%83%97%E3%83%AA/b?ie=UTF8&node=2381130051,アプリ
Android アプリストア,"[<a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA/b?ie=UTF8&amp;node=2381130051"">アプリ</a>, <a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA-%E3%82%B2%E3%83%BC%E3%83%A0/b?ie=UTF8&amp;node=2386870051"">ゲーム</a>, <a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA-Kindle%E5%AF%BE%E5%BF%9C/b?ie=UTF8&amp;node=2509060051"">Fire対応アプリ</a>, <a class=""nav_a"" href=""/%E3%82%B3%E3%82%A4%E3%83%B3/b?ie=UTF8&amp;node=3232648051"">Amazonコイン</a>, <a class=""nav_a"" href=""/b?ie=UTF8&amp;node=5540984051"">Amazonアプリ</a>, <a class=""nav_a"" href=""/gp/mas/your-account/myapps"">アプリと購買登録</a>]",https://www.amazon.co.jp/Android%E3%82%A2%E3%83%97%E3%83%AA-%E3%82%B2%E3%83%BC%E3%83%A0/b?ie=UTF8&node=2386870051,ゲーム
Android アプリストア,"[<a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA/b?ie=UTF8&amp;node=2381130051"">アプリ</a>, <a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA-%E3%82%B2%E3%83%BC%E3%83%A0/b?ie=UTF8&amp;node=2386870051"">ゲーム</a>, <a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA-Kindle%E5%AF%BE%E5%BF%9C/b?ie=UTF8&amp;node=2509060051"">Fire対応アプリ</a>, <a class=""nav_a"" href=""/%E3%82%B3%E3%82%A4%E3%83%B3/b?ie=UTF8&amp;node=3232648051"">Amazonコイン</a>, <a class=""nav_a"" href=""/b?ie=UTF8&amp;node=5540984051"">Amazonアプリ</a>, <a class=""nav_a"" href=""/gp/mas/your-account/myapps"">アプリと購買登録</a>]",https://www.amazon.co.jp/Android%E3%82%A2%E3%83%97%E3%83%AA-Kindle%E5%AF%BE%E5%BF%9C/b?ie=UTF8&node=2509060051,Fire対応アプリ
Android アプリストア,"[<a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA/b?ie=UTF8&amp;node=2381130051"">アプリ</a>, <a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA-%E3%82%B2%E3%83%BC%E3%83%A0/b?ie=UTF8&amp;node=2386870051"">ゲーム</a>, <a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA-Kindle%E5%AF%BE%E5%BF%9C/b?ie=UTF8&amp;node=2509060051"">Fire対応アプリ</a>, <a class=""nav_a"" href=""/%E3%82%B3%E3%82%A4%E3%83%B3/b?ie=UTF8&amp;node=3232648051"">Amazonコイン</a>, <a class=""nav_a"" href=""/b?ie=UTF8&amp;node=5540984051"">Amazonアプリ</a>, <a class=""nav_a"" href=""/gp/mas/your-account/myapps"">アプリと購買登録</a>]",https://www.amazon.co.jp/%E3%82%B3%E3%82%A4%E3%83%B3/b?ie=UTF8&node=3232648051,Amazonコイン
Android アプリストア,"[<a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA/b?ie=UTF8&amp;node=2381130051"">アプリ</a>, <a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA-%E3%82%B2%E3%83%BC%E3%83%A0/b?ie=UTF8&amp;node=2386870051"">ゲーム</a>, <a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA-Kindle%E5%AF%BE%E5%BF%9C/b?ie=UTF8&amp;node=2509060051"">Fire対応アプリ</a>, <a class=""nav_a"" href=""/%E3%82%B3%E3%82%A4%E3%83%B3/b?ie=UTF8&amp;node=3232648051"">Amazonコイン</a>, <a class=""nav_a"" href=""/b?ie=UTF8&amp;node=5540984051"">Amazonアプリ</a>, <a class=""nav_a"" href=""/gp/mas/your-account/myapps"">アプリと購買登録</a>]",https://www.amazon.co.jp/b?ie=UTF8&node=5540984051,Amazonアプリ
Android アプリストア,"[<a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA/b?ie=UTF8&amp;node=2381130051"">アプリ</a>, <a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA-%E3%82%B2%E3%83%BC%E3%83%A0/b?ie=UTF8&amp;node=2386870051"">ゲーム</a>, <a class=""nav_a"" href=""/Android%E3%82%A2%E3%83%97%E3%83%AA-Kindle%E5%AF%BE%E5%BF%9C/b?ie=UTF8&amp;node=2509060051"">Fire対応アプリ</a>, <a class=""nav_a"" href=""/%E3%82%B3%E3%82%A4%E3%83%B3/b?ie=UTF8&amp;node=3232648051"">Amazonコイン</a>, <a class=""nav_a"" href=""/b?ie=UTF8&amp;node=5540984051"">Amazonアプリ</a>, <a class=""nav_a"" href=""/gp/mas/your-account/myapps"">アプリと購買登録</a>]",https://www.amazon.co.jp/gp/mas/your-account/myapps,アプリと購買登録
Echo & Alexa,"[<a class=""nav_a"" href=""/dp/B072B5BTLK"">Echo Dot</a>, <a class=""nav_a"" href=""/dp/B0792PG3S9"">New Echo Dot</a>, <a class=""nav_a"" href=""/dp/B071ZF5KCM"">Echo</a>, <a class=""nav_a"" href=""/dp/B07GN546KL"">New Echo Plus</a>, <a class=""nav_a"" href=""/dp/B01J6A7CT6"">Echo Spot</a>, <a class=""nav_a"" href=""/dp/B07GN4TLLQ"">Echo Show</a>, <a class=""nav_a"" href=""/b?ie=UTF8&amp;node=5364343051"">全てのEcho&amp;Alexaデバイス</a>, <a class=""nav_a"" href=""/b?ie=UTF8&amp;node=5485773051"">Alexaとできること</a>, <a class=""nav_a"" href=""/alexa-skills/b?ie=UTF8&amp;node=4788676051"">Alexaスキル</a>, <a class=""nav_a"" href=""/b?ie=UTF8&amp;node=5364379051"">Alexaスマートホーム</a>, <a class=""nav_a"" href=""/gp/dmusic/promotions/AmazonMusicUnlimited"">Amazon Music Unlimited</a>, <a class=""nav_a"" href=""/dp/B07F3R1NR1"">サブウーファーEcho Sub</a>]",https://www.amazon.co.jp/dp/B072B5BTLK,Echo Dot
Echo & Alexa,"[<a class=""nav_a"" href=""/dp/B072B5BTLK"">Echo Dot</a>, <a class=""nav_a"" href=""/dp/B0792PG3S9"">New Echo Dot</a>, <a class=""nav_a"" href=""/dp/B071ZF5KCM"">Echo</a>, <a class=""nav_a"" href=""/dp/B07GN546KL"">New Echo Plus</a>, <a class=""nav_a"" href=""/dp/B01J6A7CT6"">Echo Spot</a>, <a class=""nav_a"" href=""/dp/B07GN4TLLQ"">Echo Show</a>, <a class=""nav_a"" href=""/b?ie=UTF8&amp;node=5364343051"">全てのEcho&amp;Alexaデバイス</a>, <a class=""nav_a"" href=""/b?ie=UTF8&amp;node=5485773051"">Alexaとできること</a>, <a class=""nav_a"" href=""/alexa-skills/b?ie=UTF8&amp;node=4788676051"">Alexaスキル</a>, <a class=""nav_a"" href=""/b?ie=UTF8&amp;node=5364379051"">Alexaスマートホーム</a>, <a class=""nav_a"" href=""/gp/dmusic/promotions/AmazonMusicUnlimited"">Amazon Music Unlimited</a>, <a class=""nav_a"" href=""/dp/B07F3R1NR1"">サブウーファーEcho Sub</a>]",https://www.amazon.co.jp/dp/B0792PG3S9,New Echo Dot
